time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1670350776682340900,8.2473408203125,-0.807915210723877,-0.21085955202579498,0.17040646076202393,0.5232331156730652,0.06402792036533356,-0.5457249879837036,2.0100960731506348
1670350776692266200,8.257266357421875,-0.8079608082771301,-0.2108444720506668,0.17028173804283142,0.5232093930244446,0.0638335645198822,-0.5455567836761475,2.0101287364959717
1670350776702191600,8.267191650390625,-0.8080257773399353,-0.21088983118534088,0.1700042486190796,0.5231810212135315,0.06328326463699341,-0.5453236699104309,2.010089635848999
1670350776712116700,8.27711669921875,-0.8080973029136658,-0.21094678342342377,0.16963082551956177,0.5231688022613525,0.06252852827310562,-0.5450047850608826,2.009969711303711
1670350776722042000,8.2870419921875,-0.8081720471382141,-0.21096171438694,0.16934406757354736,0.5231402516365051,0.061999816447496414,-0.5447076559066772,2.00994610786438
1670350776731967500,8.296967529296875,-0.8082393407821655,-0.2109564244747162,0.1691262423992157,0.5231088399887085,0.06162646412849426,-0.5444520711898804,2.0099637508392334
1670350776741892900,8.306892822265626,-0.8082956671714783,-0.21092356741428375,0.16899177432060242,0.5230785012245178,0.061441607773303986,-0.5442413091659546,2.010021686553955
1670350776751818200,8.316818359375,-0.8083641529083252,-0.21096354722976685,0.16875731945037842,0.5230322480201721,0.060991473495960236,-0.5440456867218018,2.010047435760498
1670350776761743600,8.32674365234375,-0.8084142804145813,-0.21097643673419952,0.1685754358768463,0.5230082273483276,0.06065630167722702,-0.5438629388809204,2.0100464820861816
1670350776771669000,8.3366689453125,-0.8084807991981506,-0.21093495190143585,0.16842155158519745,0.5229717493057251,0.06045098230242729,-0.5436148643493652,2.010119915008545
1670350776781594400,8.346594482421875,-0.8084678649902344,-0.21082329750061035,0.16826559603214264,0.5230869650840759,0.06021731346845627,-0.5432523488998413,2.0098273754119873
1670350776791519700,8.356519775390625,-0.8084680438041687,-0.21067486703395844,0.1680830717086792,0.5232051014900208,0.05997895076870918,-0.5427954196929932,2.009540319442749
1670350776801445000,8.366445068359376,-0.8085180521011353,-0.21058660745620728,0.16774575412273407,0.5232716798782349,0.059416741132736206,-0.5422672629356384,2.0093071460723877
1670350776811370500,8.37637060546875,-0.808593213558197,-0.21042971312999725,0.16740502417087555,0.5233277678489685,0.0589429996907711,-0.5416138172149658,2.009141683578491
1670350776821295900,8.3862958984375,-0.808673083782196,-0.2101861983537674,0.1670876294374466,0.5234035849571228,0.05860740318894386,-0.5408354997634888,2.008981704711914
1670350776831221000,8.396220947265626,-0.8087531328201294,-0.2099410593509674,0.16676250100135803,0.5234819650650024,0.05825790762901306,-0.5400457978248596,2.0088138580322266
1670350776841146400,8.406146484375,-0.8088366389274597,-0.20972754061222076,0.16645558178424835,0.523536205291748,0.05792023614048958,-0.5393306016921997,2.008697509765625
1670350776851071700,8.41607177734375,-0.8089039325714111,-0.20956242084503174,0.16619159281253815,0.5235822796821594,0.05760699138045311,-0.5387479066848755,2.0085885524749756
1670350776860997000,8.4259970703125,-0.8089286684989929,-0.20948167145252228,0.16598224639892578,0.5236427187919617,0.057277727872133255,-0.5383758544921875,2.008408546447754
1670350776870922200,8.435922119140624,-0.8088971376419067,-0.2095085233449936,0.1658518761396408,0.5237219929695129,0.05694471672177315,-0.5382826328277588,2.0081400871276855
1670350776880847600,8.44584765625,-0.8088904619216919,-0.20956435799598694,0.16579020023345947,0.5237295031547546,0.05675484612584114,-0.5383122563362122,2.008068084716797
1670350776890773000,8.45577294921875,-0.8088992834091187,-0.20958298444747925,0.1657334864139557,0.5237263441085815,0.05662894994020462,-0.538281261920929,2.008047580718994
1670350776900698400,8.465698486328124,-0.8089703321456909,-0.2095382660627365,0.16556794941425323,0.523686945438385,0.05640891194343567,-0.5380145311355591,2.0081276893615723
1670350776910623500,8.47562353515625,-0.8090723156929016,-0.2094455361366272,0.16537261009216309,0.5236281752586365,0.05620867386460304,-0.537628710269928,2.0082781314849854
1670350776920548900,8.485548828125,-0.8091042637825012,-0.2094888687133789,0.16520321369171143,0.5236149430274963,0.05585107207298279,-0.537514328956604,2.008235216140747
1670350776930474200,8.49547412109375,-0.8090861439704895,-0.20962031185626984,0.16506585478782654,0.523633599281311,0.055417899042367935,-0.5375927686691284,2.0080652236938477
1670350776940399600,8.505399658203125,-0.8090729713439941,-0.20966312289237976,0.1650450974702835,0.523643434047699,0.055318329483270645,-0.5376455187797546,2.008007526397705
1670350776950324700,8.51532470703125,-0.8091106414794922,-0.20957855880260468,0.16504819691181183,0.5236181020736694,0.055449482053518295,-0.5374986529350281,2.0081257820129395
1670350776960250000,8.52525,-0.8091925382614136,-0.20946483314037323,0.1649499535560608,0.5235680341720581,0.05544856935739517,-0.5371853709220886,2.008295774459839
1670350776970175500,8.535175537109374,-0.8092988133430481,-0.20932216942310333,0.1648148000240326,0.5235033631324768,0.0554267019033432,-0.5367788672447205,2.008510112762451
1670350776980100900,8.545100830078125,-0.8094038367271423,-0.20916934311389923,0.16469863057136536,0.523438572883606,0.055452656000852585,-0.536375880241394,2.0087363719940186
1670350776990026000,8.55502587890625,-0.8094714879989624,-0.20903827250003815,0.1646725833415985,0.5233945250511169,0.05560211464762688,-0.5361133813858032,2.008922576904297
1670350776999951400,8.564951416015624,-0.8095100522041321,-0.20894834399223328,0.16468043625354767,0.5233683586120605,0.05574912205338478,-0.5359622836112976,2.009047508239746
1670350777009876700,8.574876708984375,-0.8093653917312622,-0.20893070101737976,0.16469012200832367,0.5235959887504578,0.05562242865562439,-0.5359578132629395,2.008452892303467
1670350777019802000,8.584802001953125,-0.8092632293701172,-0.2089533805847168,0.16463451087474823,0.5237624049186707,0.05536935478448868,-0.535946786403656,2.0079782009124756
1670350777029727200,8.594727294921874,-0.8091591596603394,-0.20901496708393097,0.16463832557201385,0.5238973498344421,0.05519978702068329,-0.5360684990882874,2.007582902908325
1670350777039652600,8.604652587890625,-0.8091025948524475,-0.2091325968503952,0.1646479219198227,0.5239346623420715,0.05504162609577179,-0.5362883806228638,2.0074169635772705
1670350777049578000,8.614577880859375,-0.8090561032295227,-0.20923016965389252,0.1646546572446823,0.5239654779434204,0.054908253252506256,-0.5364693999290466,2.007279634475708
