time,seconds_elapsed_x,ACC_Z,ACC_Y,ACC_X,seconds_elapsed_y,GYRO_Z,GYRO_Y,GYRO_X,seconds_elapsed,text
1670358949583845000,8.29484521484375,0.0194196701049804,0.0176327228546142,0.001638273242861,8.29484521484375,-0.001198387122713,-0.0005326165119186,0.0017310036346316,,On the table
1670358949593768400,8.3047685546875,0.028517723083496,0.0290483869612216,0.0015629092231392,8.3047685546875,-0.001198387122713,-0.0005326165119186,0.0006657706107944,,On the table
1670358949603691800,8.31469189453125,0.0233306884765625,0.0284960158169269,-0.0009697151836007,8.31469189453125,-0.001198387122713,-0.0015978495357558,0.0006657706107944,,On the table
1670358949613615400,8.324615478515625,-0.0006132125854492,0.0091084167361259,-0.0104238204658031,8.324615478515625,-0.001198387122713,-0.0005326165119186,0.0006657706107944,,On the table
1670358949623538700,8.33453857421875,-0.0335807800292968,-0.017022717744112,-0.0362092293798923,8.33453857421875,-0.001198387122713,-0.0005326165119186,0.0006657706107944,,On the table
1670358949633462000,8.3444619140625,-0.0353775024414062,-0.0357546284794807,-0.0404678657650947,8.3444619140625,-0.001198387122713,-0.0015978495357558,0.0017310036346316,,On the table
1670358949643385300,8.35438525390625,-0.0206556320190429,-0.0212995223701,-0.0163888689130544,8.35438525390625,-0.001198387122713,-0.0015978495357558,0.0027962366584688,,On the table
1670358949653308700,8.36430859375,0.0079545974731445,-0.0094408951699733,0.0026802127249538,8.36430859375,-0.0022636202629655,-0.0005326165119186,0.0027962366584688,,On the table
1670358949663232300,8.374232177734376,0.031376838684082,0.0022201016545295,0.0283956322818994,8.374232177734376,-0.001198387122713,-0.0015978495357558,0.0027962366584688,,On the table
1670358949673155600,8.384155517578124,0.0355644226074218,0.0209593046456575,0.0442602410912513,8.384155517578124,-0.001198387122713,-0.0015978495357558,0.0006657706107944,,On the table
1670358949683079000,8.394078857421874,0.0184841156005859,0.030066929757595,0.0411189682781696,8.394078857421874,-0.001198387122713,-0.0005326165119186,-0.0003994623839389,,On the table
1670358949693002200,8.404002197265624,0.0134658813476562,-0.0056298002600669,0.0026967455632984,8.404002197265624,-0.001198387122713,-0.0005326165119186,-0.0014646954368799,,On the table
1670358949702925800,8.41392578125,0.006174087524414,-0.0290567874908447,-0.0161377042531967,8.41392578125,-0.001198387122713,0.0005326165119186,-0.0003994623839389,,On the table
1670358949712849200,8.42384912109375,-0.022195816040039,-0.0356044434010982,-0.0182723496109247,8.42384912109375,-0.001198387122713,-0.0005326165119186,-0.0003994623839389,,On the table
1670358949722772500,8.4337724609375,-0.01947021484375,-0.0280126146972179,-0.0274380855262279,8.4337724609375,-0.001198387122713,-0.0005326165119186,0.0006657706107944,,On the table
1670358949732695800,8.44369580078125,-0.0097246170043945,-0.0065169520676136,-0.012895518913865,8.44369580078125,-0.001198387122713,-0.0005326165119186,0.0017310036346316,,On the table
1670358949742619100,8.453619140625,0.0069265365600585,0.017078973352909,0.0108268866315484,8.453619140625,-0.001198387122713,-0.0005326165119186,0.0006657706107944,,On the table
1670358949752542700,8.463542724609376,0.020944595336914,0.0237927883863449,0.0105988336727023,8.463542724609376,-0.0001331541279796,-0.0005326165119186,0.0006657706107944,,On the table
1670358949762466000,8.473466064453126,0.0111732482910156,0.0327501818537712,0.005662580486387,8.473466064453126,-0.0022636202629655,-0.0005326165119186,0.0006657706107944,,On the table
1670358949772389400,8.483389404296876,-0.0031461715698242,0.020358333364129,-0.0109687186777591,8.483389404296876,-0.001198387122713,-0.0005326165119186,0.0006657706107944,,On the table
1670358949782312700,8.493312744140624,-0.0054492950439453,-0.0082128830254077,-0.0225087460130453,8.493312744140624,-0.001198387122713,0.0005326165119186,-0.0003994623839389,,On the table
1670358949792236300,8.503236328125,-0.0077142715454101,-0.0340553298592567,-0.012656457722187,8.503236328125,-0.001198387122713,0.0005326165119186,0.0006657706107944,,On the table
1670358949802159600,8.51315966796875,0.0089035034179687,-0.0263863429427146,0.0088093904778361,8.51315966796875,-0.001198387122713,0.0005326165119186,-0.0003994623839389,,On the table
1670358949812083000,8.5230830078125,0.0134668350219726,-0.0306229405105114,0.0510144829750061,8.5230830078125,-0.001198387122713,-0.0005326165119186,-0.0003994623839389,,On the table
1670358949822006300,8.53300634765625,0.0344429016113281,-0.0370415151119232,0.0880109891295433,8.53300634765625,-0.001198387122713,0.0015978495357558,-0.0014646954368799,,On the table
1670358949831929600,8.5429296875,-0.0038185119628906,-0.0339309126138687,0.0724657252430915,8.5429296875,-0.001198387122713,0.0005326165119186,-0.0014646954368799,,On the table
1670358949841853200,8.552853271484375,-0.0084657669067382,-0.0049610659480094,0.0243047587573528,8.552853271484375,-0.001198387122713,0.0015978495357558,-0.0014646954368799,,On the table
1670358949851776500,8.562776611328125,-0.0059680938720703,-2.95937061309e-05,-0.0395424030721187,8.562776611328125,-0.001198387122713,0.0015978495357558,-0.0014646954368799,,On the table
1670358949861699800,8.572699951171876,0.0106201171875,0.0164944846183061,-0.090650662779808,8.572699951171876,-0.001198387122713,0.0005326165119186,-0.0003994623839389,,On the table
1670358949871623200,8.582623046875,0.0033769607543945,0.0399128198623657,-0.098507136106491,8.582623046875,-0.001198387122713,0.0005326165119186,-0.0014646954368799,,On the table
1670358949881546800,8.592546630859376,0.0103883743286132,0.0535186529159545,-0.0591215826570987,8.592546630859376,-0.001198387122713,0.0005326165119186,-0.0014646954368799,,On the table
1670358949891470000,8.602469970703124,0.0337715148925781,0.031667411327362,-0.0085116997361183,8.602469970703124,-0.001198387122713,0.0015978495357558,-0.0025299284607172,,On the table
1670358949901393400,8.612393310546874,0.0355663299560546,-0.0062055140733718,0.041357684880495,8.612393310546874,-0.001198387122713,0.0026630824431777,-0.0035951614845544,,On the table
1670358949911316700,8.622316650390625,0.0349750518798828,-0.0244997702538967,0.0739075019955635,8.622316650390625,-0.0001331541279796,0.0026630824431777,-0.0046603945083916,,On the table
1670358949921240300,8.632240234375,0.0650167465209961,0.0001168474555015,0.0684315115213394,8.632240234375,-0.001198387122713,0.0047935484908521,-0.006790860556066,,On the table
1670358949931163600,8.64216357421875,-0.1645526885986328,0.0171535480767488,-0.0007596318610012,8.64216357421875,-0.0022636202629655,0.0026630824431777,-0.0057256272993981,,On the table
1670358949941087000,8.6520869140625,-0.0275421142578125,-0.0699441879987716,-0.0571228750050067,8.6520869140625,-0.0022636202629655,0.0015978495357558,-0.0035951614845544,,On the table
1670358949951010300,8.66201025390625,0.0200281143188476,-0.0403740666806697,-0.0982069969177246,8.66201025390625,-0.001198387122713,0.0037283156998455,-0.0014646954368799,,On the table
1670358949960933600,8.67193359375,0.0079174041748046,0.0288506336510181,-0.0611825436353683,8.67193359375,-0.0022636202629655,0.0005326165119186,-0.0025299284607172,,On the table
1670358949970857200,8.681857177734376,0.0289869308471679,0.0025964826345443,-0.0198580883443355,8.681857177734376,-0.0022636202629655,0.0026630824431777,-0.0014646954368799,,On the table
1670358949980780500,8.691780517578126,-0.0398063659667968,0.0193858388811349,0.0465862415730953,8.691780517578126,-0.001198387122713,0.0015978495357558,-0.0035951614845544,,On the table
1670358949990703900,8.701703857421874,0.0786352157592773,0.0546367950737476,0.0743372738361358,8.701703857421874,-0.001198387122713,0.0026630824431777,-0.0025299284607172,,On the table
1670358950000627200,8.711627197265624,0.0419940948486328,0.0235507376492023,0.0522621907293796,8.711627197265624,-0.001198387122713,0.0037283156998455,-0.0046603945083916,,On the table
1670358950010550800,8.72155078125,0.0200967788696289,-0.056277822703123,0.0118131255730986,8.72155078125,-0.0022636202629655,0.0047935484908521,-0.006790860556066,,On the table
1670358950020474000,8.73147412109375,-0.0202789306640625,-0.028672955930233,-0.0421976223587989,8.73147412109375,-0.001198387122713,0.0037283156998455,-0.0078560933470726,,On the table
1670358950030397400,8.7413974609375,-0.0458478927612304,0.0289910156279802,-0.0673505738377571,8.7413974609375,-0.001198387122713,0.0005326165119186,-0.006790860556066,,On the table
1670358950040320800,8.75132080078125,-0.0568599700927734,0.0124657489359378,-0.0802040845155716,8.75132080078125,-0.0022636202629655,0.0015978495357558,-0.0046603945083916,,On the table
1670358950050244000,8.761244140625,-0.0323543548583984,-0.0203760080039501,-0.0622206479310989,8.761244140625,-0.001198387122713,0.0015978495357558,-0.0035951614845544,,On the table
1670358950060167400,8.77116748046875,-0.0059032440185546,-0.0222541503608226,-0.0045955213718116,8.77116748046875,-0.001198387122713,0.0005326165119186,-0.0014646954368799,,On the table
1670358950070090800,8.7810908203125,-0.017582893371582,-0.0194928683340549,0.0425439924001693,8.7810908203125,-0.001198387122713,-0.0005326165119186,-0.0003994623839389,,On the table
1670358950080014000,8.79101416015625,-0.0102224349975585,-0.0143190808594226,0.0726149156689643,8.79101416015625,-0.001198387122713,0.0015978495357558,-0.0014646954368799,,On the table
1670358950089937400,8.8009375,0.0229272842407226,-0.013942651450634,0.0667483657598495,8.8009375,-0.001198387122713,0.0005326165119186,-0.0014646954368799,,On the table
1670358950099860700,8.81086083984375,0.0437469482421875,-0.0016917623579502,0.0186825953423976,8.81086083984375,-0.001198387122713,0.0015978495357558,-0.0025299284607172,,On the table
1670358950109784000,8.8207841796875,0.0053300857543945,0.0293023772537708,-0.0355457514524459,8.8207841796875,-0.001198387122713,0.0026630824431777,-0.0035951614845544,,On the table
1670358950119707400,8.830707275390624,0.0052433013916015,0.0197355784475803,-0.0676708593964576,8.830707275390624,-0.0022636202629655,0.0026630824431777,-0.0035951614845544,,On the table
1670358950129630700,8.840630615234375,0.0098695755004882,0.0221059806644916,-0.0686377882957458,8.840630615234375,-0.001198387122713,0.0026630824431777,-0.0035951614845544,,On the table
1670358950139554000,8.850553955078125,-0.0232696533203125,0.0316065475344657,-0.0389663949608802,8.850553955078125,-0.001198387122713,0.0026630824431777,-0.0046603945083916,,On the table
1670358950149477400,8.860477294921875,-0.0346584320068359,-0.0322793759405612,0.0136630199849605,8.860477294921875,-0.001198387122713,0.0015978495357558,-0.0025299284607172,,On the table
1670358950159400700,8.870400634765625,0.0248098373413085,-0.0527005679905414,0.0371486134827137,8.870400634765625,-0.001198387122713,0.0015978495357558,-0.0025299284607172,,On the table
1670358950169324000,8.880323974609375,-0.0132904052734375,-0.0491228885948658,0.0531761161983013,8.880323974609375,-0.001198387122713,0.0015978495357558,-0.0035951614845544,,On the table
